Mission ID,Mission Date,Country,Target Country,Target City,Target Latitude,Target Longitude
1,8/15/1943,USA,ITALY,SPADAFORA,38.22,15.37
3,8/15/1943,USA,ITALY,COSENZA,39.27,16.25
4,8/15/1943,USA,ITALY,GIOJA TAURO,38.43,15.9
9,8/15/1943,USA,ITALY,SCILLA,38.23,15.72
10,8/15/1943,USA,ITALY,GIOJA TAURO,38.43,15.9
12,8/15/1943,GREAT BRITAIN,GERMANY,BERLIN,52.53,13.42
13,8/15/1943,GREAT BRITAIN,GERMANY,BERLIN,52.53,13.42
58,8/15/1943,GREAT BRITAIN,GERMANY,DUSSELDORF,51.22,6.78
66,8/15/1943,USA,ITALY,AGATA,38.08,14.63
67,8/15/1943,USA,ITALY,AGATA,38.08,14.63
68,8/15/1943,USA,ITALY,MESSINA,38.18,15.57
69,8/15/1943,USA,ITALY,MESSINA,38.18,15.57
70,8/15/1943,USA,ITALY,SAPRI,40.07,15.63
71,8/15/1943,USA,ITALY,SAPRI,40.07,15.63
72,8/15/1943,USA,ITALY,37 20 N 014 00 E,37.33,14
73,8/15/1943,USA,ITALY,37 20 N 014 00 E,37.33,14
74,8/15/1943,USA,ITALY,37 20 N 014 00 E,37.33,14
75,8/15/1943,USA,ITALY,SIBARI,39.78,16.47
76,8/15/1943,USA,ITALY,SIBARI,39.78,16.47
77,8/15/1943,USA,ITALY,SIBARI,39.78,16.47
78,8/15/1943,USA,ITALY,SIBARI,39.78,16.47
79,8/15/1943,USA,ITALY,SIBARI,39.78,16.47
80,8/15/1943,USA,ITALY,SIBARI,39.78,16.47
81,8/15/1943,USA,ITALY,SIBARI,39.78,16.47
82,8/15/1943,USA,ITALY,SIBARI,39.78,16.47
83,8/15/1943,USA,ITALY,MILAN,45.45,9.15
84,8/15/1943,USA,ITALY,MILAN,45.45,9.15
85,8/15/1943,USA,ITALY,MILAN,45.45,9.15
96,8/16/1943,USA,ITALY,VILLA SAN GIOVANNI,38.2,15.65
184,7/29/1944,USA,GERMANY,HILDESHEIM,52.15,9.97
185,7/29/1944,USA,GERMANY,HILDESHEIM,52.15,9.97
186,7/29/1944,GREAT BRITAIN,GERMANY,FRANKFURT AM MAIN,50.1,8.67
187,7/29/1944,GREAT BRITAIN,GERMANY,FRANKFURT AM MAIN,50.1,8.67
188,7/29/1944,USA,GERMANY,CUXHAVEN,53.88,8.7
189,7/29/1944,USA,GERMANY,CUXHAVEN,53.88,8.7
190,7/29/1944,USA,GERMANY,CUXHAVEN,53.88,8.7
191,7/29/1944,USA,GERMANY,HILDESHEIM,52.15,9.97
192,7/29/1944,USA,GERMANY,CITY TOT UNDER 6 TON,,
193,7/29/1944,USA,GERMANY,CITY TOT UNDER 6 TON,,
194,7/29/1944,USA,GERMANY,BADSULZA,51.08,11.62
195,7/29/1944,USA,GERMANY,BADSULZA,51.08,11.62
196,7/29/1944,USA,GERMANY,BADSULZA,51.08,11.62
197,7/29/1944,USA,GERMANY,UNIDENTIFIED,,
198,7/29/1944,USA,GERMANY,UNIDENTIFIED,,
217,2/16/1945,USA,AUSTRIA,HALL,47.28,11.5
218,2/16/1945,USA,AUSTRIA,INNSBRUCK,47.27,11.38
219,2/16/1945,USA,AUSTRIA,INNSBRUCK,47.27,11.38
220,2/16/1945,USA,AUSTRIA,LANDSBERG,46.82,15.23
221,2/16/1945,USA,AUSTRIA,LANDSBERG,46.82,15.23
222,2/16/1945,USA,AUSTRIA,LANDSBERG,46.82,15.23
223,2/16/1945,USA,AUSTRIA,HALL,47.28,11.5
224,2/16/1945,USA,AUSTRIA,HALL,47.28,11.5
225,2/16/1945,USA,AUSTRIA,HALL,47.28,11.5
226,2/16/1945,USA,AUSTRIA,LANDSBERG,46.82,15.23
227,2/16/1945,USA,AUSTRIA,LANDSBERG,46.82,15.23
228,2/16/1945,USA,AUSTRIA,LANDSBERG,46.82,15.23
229,2/16/1945,USA,AUSTRIA,HALL,47.28,11.5
230,2/16/1945,USA,AUSTRIA,HALL,47.28,11.5
231,2/16/1945,USA,AUSTRIA,NEUBERG,47.65,15.58
232,2/16/1945,USA,AUSTRIA,NEUBERG,47.65,15.58
233,2/16/1945,USA,AUSTRIA,NEUBERG,47.65,15.58
234,2/16/1945,USA,AUSTRIA,HALL,47.28,11.5
235,2/16/1945,USA,AUSTRIA,HALL,47.28,11.5
236,2/16/1945,USA,AUSTRIA,HALL,47.28,11.5
237,2/16/1945,USA,AUSTRIA,HALL,47.28,11.5
238,2/16/1945,USA,AUSTRIA,HALL,47.28,11.5
239,2/16/1945,USA,AUSTRIA,LANDSBERG,46.82,15.23
240,2/16/1945,USA,AUSTRIA,LANDSBERG,46.82,15.23
241,2/16/1945,USA,AUSTRIA,LANDSBERG,46.82,15.23
242,2/16/1945,USA,AUSTRIA,LANDSBERG,46.82,15.23
243,2/16/1945,USA,AUSTRIA,LANDSBERG,46.82,15.23
244,2/16/1945,USA,AUSTRIA,LANDSBERG,46.82,15.23
245,2/16/1945,USA,AUSTRIA,LANDSBERG,46.82,15.23
246,2/16/1945,USA,AUSTRIA,LANDSBERG,46.82,15.23
247,2/16/1945,USA,AUSTRIA,LANDSBERG,46.82,15.23
248,2/16/1945,USA,GERMANY,LECHFELD,48.17,10.87
249,2/16/1945,USA,GERMANY,LECHFELD,48.17,10.87
250,2/16/1945,USA,GERMANY,LECHFELD,48.17,10.87
251,2/16/1945,USA,GERMANY,47 00 N 017 00 E,47,17
252,2/16/1945,USA,AUSTRIA,LINZ,48.3,14.3
253,2/16/1945,USA,GERMANY,MUNSTER,50.13,8.46
254,2/16/1945,USA,GERMANY,MUNSTER,50.13,8.46
255,2/16/1945,USA,GERMANY,MUNSTER,50.13,8.46
256,2/16/1945,USA,GERMANY,BURGSTEINFURT,52.17,7.35
257,2/16/1945,USA,GERMANY,BURGSTEINFURT,52.17,7.35
258,2/16/1945,USA,GERMANY,BURGSTEINFURT,52.17,7.35
259,2/16/1945,USA,GERMANY,BURGSTEINFURT,52.17,7.35
260,2/16/1945,USA,GERMANY,BURGSTEINFURT,52.17,7.35
261,2/16/1945,USA,GERMANY,BURGSTEINFURT,52.17,7.35
262,2/16/1945,USA,GERMANY,50 40 N 008 00 E,50.67,8
263,2/16/1945,USA,GERMANY,50 40 N 008 00 E,50.67,8
264,2/16/1945,USA,GERMANY,50 40 N 008 00 E,50.67,8
265,2/16/1945,USA,GERMANY,BURGSTEINFURT,52.17,7.35
266,2/16/1945,USA,GERMANY,BURGSTEINFURT,52.17,7.35
267,2/16/1945,USA,GERMANY,BURGSTEINFURT,52.17,7.35
268,2/16/1945,USA,GERMANY,BURGSTEINFURT,52.17,7.35
269,2/16/1945,USA,GERMANY,BURGSTEINFURT,52.17,7.35
270,2/16/1945,USA,GERMANY,BURGSTEINFURT,52.17,7.35
271,2/16/1945,USA,GERMANY,49 20 N 011 40 E,49.33,11.67
272,2/16/1945,USA,GERMANY,50 40 N 007 00 E,50.67,7
273,2/16/1945,USA,GERMANY,50 40 N 007 00 E,50.67,7
274,2/16/1945,USA,GERMANY,50 40 N 009 20 E,50.67,9.33
275,2/16/1945,USA,GERMANY,50 40 N 009 20 E,50.67,9.33
276,2/16/1945,USA,GERMANY,51 40 N 006 40 E,51.67,6.67
277,2/16/1945,USA,GERMANY,51 40 N 006 40 E,51.67,6.67
302,8/16/1943,USA,ITALY,COSENZA,39.27,16.25
309,8/16/1943,USA,FRANCE,BEAUMDNT LE ROGER,49.07,0.78
310,8/16/1943,USA,FRANCE,BEAUMDNT LE ROGER,49.07,0.78
355,8/16/1943,USA,ITALY,TERRE DI FARO,,
356,8/16/1943,USA,ITALY,TERRE DI FARO,,
357,8/16/1943,USA,ITALY,MESSINA STRAITS,38,15.58
358,8/16/1943,USA,ITALY,MESSINA STRAITS,38,15.58
359,8/16/1943,USA,ITALY,MESSINA,38.18,15.57
360,8/16/1943,USA,ITALY,MESSINA,38.18,15.57
361,8/16/1943,USA,ITALY,STALETTI,38.77,16.55
362,8/16/1943,USA,ITALY,STALETTI,38.77,16.55
363,8/16/1943,USA,ITALY,MESSINA,38.18,15.57
